ID,Position X,Position Y,Position Z,Volume_um3,Position X (voxels),Position Y (voxels),Position Z (voxels),uIntCh_1,uIntCh_2,uIntCh_3,uIntCh_4,SynapseStatus,TerminalStatus,XYZinROI?,CropX,CropY,ZStart,ZEnd
146,6.816,21.974,4.78,0.241,110.116,354.985,14,18420.9,15290.2,6658.16,2444.16,Synapse,NA,Yes,93.961,338.83,12,16
147,5.77,21.016,9.376,0.461,93.218,339.519,28,23466.699,11094.1,8223.75,10759.4,Synapse,NA,Yes,77.063,323.364,26,30
149,9.265,16.425,6.357,0.271,149.672,265.346,19,18942.801,10704.7,6643.42,2423.16,Synapse,NA,Yes,133.517,249.191,17,21
150,7.873,18.295,3.273,0.151,127.182,295.551,10,15778.2,13929,4027.09,2178.62,Synapse,NA,Yes,111.027,279.396,8,12
157,22.903,22.541,9.764,0.334,370,364.144,29,19242,11777.1,11046.8,14670.9,Synapse,NA,Yes,353.845,347.989,27,31
159,30.616,19.214,13.591,0.166,494.611,310.409,40,16612.301,13899.1,19162.9,13510.3,Synapse,NA,Yes,478.456,294.254,38,42
160,30.32,18.982,12.194,0.423,489.827,306.658,36,21369.9,11219.5,15323.6,6826.51,Synapse,NA,Yes,473.672,290.503,34,38
161,22.764,22.865,8.176,0.376,367.758,369.385,24,24286.199,13674,15567,8709.55,Synapse,NA,Yes,351.603,353.23,22,26
162,22.312,22.958,8.135,0.45,360.446,370.895,24,25853.801,11844.9,11167.8,7555.71,Synapse,NA,Yes,344.291,354.74,22,26
163,114.79,23.444,12.077,0.2,1854.443,378.746,36,17864.5,13501.6,12905.7,11359.9,Synapse,NA,Yes,1838.288,362.591,34,38
165,114.874,23.992,10.695,0.22,1855.8,387.593,31,19641.699,13409.4,14023.9,6936.84,Synapse,NA,Yes,1839.645,371.438,29,33
166,106.359,23.776,11.887,0.277,1718.239,384.1,35,30270.6,10433.3,9474.62,3260.71,Synapse,NA,Yes,1702.084,367.945,33,37
167,105.986,24.096,11.814,0.864,1712.213,389.268,35,32548.1,12167.1,11200.5,3597.79,Synapse,NA,Yes,1696.058,373.113,33,37
