ID,Position X,Position Y,Position Z,Volume_um3,Position X (voxels),Position Y (voxels),Position Z (voxels),uIntCh_1,uIntCh_2,uIntCh_3,uIntCh_4,SynapseStatus,TerminalStatus,XYZinROI?,CropX,CropY,ZStart,ZEnd
145,65.371,22.147,7.092,0.751,1056.078,357.782,21,13269.4,13253.5,12478.5,4936.65,Synapse,Negative,Yes,1039.923,341.627,19,23
146,64.08,21.547,8.026,0.701,1035.215,348.1,24,10780.6,13441.6,7953.27,4438.15,Synapse,Negative,Yes,1019.06,331.945,22,26
147,60.687,24.571,9.378,0.273,980.402,396.952,28,11145.2,11449.6,10169.7,7014.58,Synapse,Positive,Yes,964.247,380.797,26,30
149,56.203,28.411,8.2,0.18,907.963,458.981,24,9575.79,10159,5339.17,8212.72,Synapse,Positive,Yes,891.808,442.826,22,26
150,58.84,24.976,11.101,0.163,950.561,403.483,33,9363.91,10047.5,15683,6992.42,Synapse,Positive,Yes,934.406,387.328,31,35
152,57.053,26.015,11.859,0.494,921.703,420.283,35,9486.67,11858.9,19797.199,5502.75,Synapse,Negative,Yes,905.548,404.128,33,37
156,55.165,26.935,9.857,0.313,891.202,435.131,29,12273.8,11094.3,8257.87,7778.46,Synapse,Positive,Yes,875.047,418.976,27,31
157,61.566,20.692,10.641,0.37,994.604,334.278,31,9195.33,12039.7,8704.94,5483.78,Synapse,Negative,Yes,978.449,318.123,29,33
158,56.976,25.995,5.418,0.663,920.448,419.953,16,10864.7,13888.8,8300.24,4426.58,Synapse,Negative,Yes,904.293,403.798,14,18
159,63.971,17.264,9.018,0.198,1033.457,278.898,27,6082.16,10128.3,5247.85,3765.05,Synapse,Negative,Yes,1017.302,262.743,25,29
160,60.412,20.972,7.774,0.101,975.96,338.805,23,1446.45,10529.5,4019.33,5934.73,Unpaired,Positive,Yes,959.805,322.65,21,25
161,59.609,19.711,8.278,0.35,962.989,318.431,24,9252.01,12710.5,6060.77,7632.62,Synapse,Positive,Yes,946.834,302.276,22,26
162,54.226,24.244,11.432,0.308,876.026,391.672,34,11695.9,12021.9,13856,12038.2,Synapse,Positive,Yes,859.871,375.517,32,36
163,54.168,25.741,9.157,0.399,875.087,415.847,27,21221.6,11892.3,13056.9,5771.89,Synapse,Negative,Yes,858.932,399.692,25,29
164,54.387,24.236,6.374,0.57,878.63,391.528,19,10592,12287.2,8634.11,4212.79,Synapse,Negative,Yes,862.475,375.373,17,21
165,53.272,23.747,11.05,0.115,860.607,383.627,33,8065.04,11770,10319.6,12097.8,Synapse,Positive,Yes,844.452,367.472,31,35
166,58.074,20.639,8.24,0.653,938.189,333.425,24,3344.74,14928.2,14218.5,7720.53,Unpaired,Uncertain,Yes,922.034,317.27,22,26
167,51.73,25.18,9.033,0.483,835.704,406.788,27,11425.9,11851,8617.93,8297.34,Synapse,Positive,Yes,819.549,390.633,25,29
168,57.591,21.189,5.048,0.834,930.386,342.304,15,12039.6,14975.5,12391.4,5929.02,Synapse,Negative,Yes,914.231,326.149,13,17
170,50.759,24.196,11.035,0.43,820.011,390.893,32,12969.6,11356.1,12510.6,9171.4,Synapse,Positive,Yes,803.856,374.738,30,34
172,48.583,28.167,7.357,0.165,784.856,455.037,22,20886.301,13026.3,6456.75,11604.7,Synapse,Positive,Yes,768.701,438.882,20,24
173,47.507,26.216,11.153,0.484,767.473,423.528,33,8739.57,12214.9,11426,8851.03,Synapse,Positive,Yes,751.318,407.373,31,35
174,47.869,27.198,7.621,0.465,773.326,439.381,22,11793.3,13719.1,10089.5,13084.8,Synapse,Positive,Yes,757.171,423.226,20,24
175,48.906,26.627,8.822,0.516,790.074,430.166,26,15810.4,13223,12952.9,10274.1,Synapse,Positive,Yes,773.919,414.011,24,28
176,45.008,28.776,7.056,0.401,727.115,464.884,21,9995.07,13085.4,8334.65,8971.54,Synapse,Positive,Yes,710.96,448.729,19,23
178,44.628,29.751,8.82,0.317,720.971,480.627,26,5581.39,11332,15052.5,9966.19,Synapse,Positive,Yes,704.816,464.472,24,28
180,48.428,26.333,4.615,1.112,782.359,425.41,14,2036.66,15568.3,8941.51,4226.44,Unpaired,Negative,Yes,766.204,409.255,12,16
181,50.956,24.072,2.818,0.49,823.197,388.889,8,1612.84,13171.9,4773.8,3440.01,Unpaired,Negative,Yes,807.042,372.734,6,10
182,50.945,21.674,7.5,0.55,823.021,350.142,22,4867.26,13589.2,4553.6,3624.32,Synapse,Negative,Yes,806.866,333.987,20,24
184,43.35,29.927,5.465,0.168,700.321,483.48,16,2254.16,10600.6,8019.24,6921.21,Unpaired,Positive,Yes,684.166,467.325,14,18
185,47.454,22.812,11.743,0.24,766.622,368.523,35,17177,12541.5,11414.6,11557.6,Synapse,Positive,Yes,750.467,352.368,33,37
186,44.609,27.924,6.398,0.375,720.664,451.123,19,7136.97,12645.1,7323.4,7418.21,Synapse,Positive,Yes,704.509,434.968,17,21
187,48.45,21.847,12.946,0.439,782.708,352.942,38,8356.83,13323.3,17069.5,13723.8,Synapse,Positive,Yes,766.553,336.787,36,40
189,49.73,23.182,3.527,0.861,803.389,374.502,10,13706.7,17231.5,8152.11,4491.51,Synapse,Negative,Yes,787.234,358.347,8,12
190,46.806,23.515,10.661,0.207,756.16,379.889,31,14514.7,12259.9,12003.1,11901.6,Synapse,Positive,Yes,740.005,363.734,29,33
191,43.817,26.928,5.407,0.388,707.874,435.031,16,6410.7,12731.6,16373.6,3706.71,Synapse,Uncertain,Yes,691.719,418.876,14,18
192,47.836,19.975,14.025,0.406,772.795,322.704,41,7397.81,11579.5,13223.1,11458.2,Synapse,Positive,Yes,756.64,306.549,39,43
193,47.622,24.541,3.272,0.753,769.341,396.459,10,13927.2,15300,11691.4,4944.36,Synapse,Negative,Yes,753.186,380.304,8,12
194,40.175,29.242,6.22,0.602,649.024,472.399,18,7588.62,12813.2,11106.1,7205.45,Synapse,Positive,Yes,632.869,456.244,16,20
196,39.309,28.703,11.123,0.126,635.045,463.695,33,9677.89,12793.1,22570.9,12656.6,Synapse,Positive,Yes,618.89,447.54,31,35
197,38.312,28.492,10.526,0.974,618.934,460.291,31,12171,14851.3,15785.7,8325.56,Synapse,Positive,Yes,602.779,444.136,29,33
198,46.865,21.137,5.836,0.545,757.11,341.464,17,13194.7,15193.7,11830.8,6391.96,Synapse,Negative,Yes,740.955,325.309,15,19
199,42.919,26.097,6.444,0.826,693.365,421.601,19,7299.05,14310.7,9525.84,4643.8,Synapse,Negative,Yes,677.21,405.446,17,21
200,48.759,16.289,6.543,0.722,787.711,263.152,19,6953.86,13958.6,10140.6,4610.86,Synapse,Positive,Yes,771.556,246.997,17,21
201,45.277,20.608,8.004,0.698,731.449,332.916,24,8081.72,15212.2,6277.11,4800.25,Synapse,Negative,Yes,715.294,316.761,22,26
202,38.995,26.438,12.733,0.509,629.964,427.102,37,8344.94,12374.8,28853.6,6158.62,Synapse,Negative,Yes,613.809,410.947,35,39
203,39.862,23.172,8.612,0.606,643.982,374.351,25,9290.03,13430.1,8178.68,10576.1,Synapse,Positive,Yes,627.827,358.196,23,27
205,39.195,25.322,7.975,0.697,633.207,409.086,23,10857.8,14306.4,9902.42,8726.58,Synapse,Positive,Yes,617.052,392.931,21,25
206,37.133,25.876,2.975,0.212,599.892,418.024,9,1688.96,11011.6,4515.41,3794.26,Unpaired,Negative,Yes,583.737,401.869,7,11
208,37.597,24.757,10.283,0.602,607.386,399.958,30,12167.3,12615.9,13933.2,6101.99,Synapse,Negative,Yes,591.231,383.803,28,32
